名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
清水眞衣,PFUブルーキャッツ,12,16,60,0,61,195,61,17,31.3,22.6,1,0,0,31,165,3,10,35,5,2,2,95,0.0,1.0,0.51,5.6,60.0
渡邊久惠,日立リヴァーレ,9,36,49,8,71,857,289,28,33.7,30.5,147,52,3,9,214,8,17,64,1,0,0,306,35.4,4.07,0.13,9.2,0.0
渡邊彩,トヨタ車体クインシーズ,12,41,22,13,58,218,96,13,44.0,38.1,1,1,0,21,212,16,12,60,1,1,0,133,100.0,1.66,0.36,13.2,100.0
渡邊真恵,岡山シーガルズ,6,41,38,10,78,547,207,20,37.8,34.2,13,0,1,15,211,10,7,50,120,41,19,232,0.0,2.65,0.19,9.8,42.1
濱松明日香,久光製薬スプリングス,17,11,4,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
田中瑞稀,JTマーヴェラス,6,52,31,14,80,863,320,38,37.1,32.7,130,44,11,18,297,15,22,89,547,221,158,353,33.8,4.0,0.22,10.7,54.8
田中美咲,JTマーヴェラス,7,52,31,14,72,27,11,2,40.7,33.3,2,1,0,8,249,12,14,84,4,1,0,31,50.0,0.15,0.11,11.8,25.0
田原愛里,デンソーエアリービーズ,8,35,36,10,58,18,6,0,33.3,33.3,0,0,0,3,172,6,12,64,4,1,0,15,,0.1,0.05,11.0,25.0
田浦優歌,久光製薬スプリングス,15,3,1,1,4,0,0,0,,,0,0,0,0,6,0,0,2,0,0,0,0,,0.0,0.0,8.3,
白井美沙紀,東レアローズ,8,46,33,13,32,0,0,0,,,0,0,0,0,31,0,1,11,0,0,0,0,,0.0,0.0,8.1,
白岩蘭奈,KUROBEアクアフェアリーズ,17,2,24,0,17,25,6,2,24.0,16.0,0,0,0,0,23,1,5,4,24,6,8,7,,0.35,0.0,3.3,41.7
白崎麻友香,KUROBEアクアフェアリーズ,5,13,55,2,41,2,1,0,50.0,50.0,0,0,0,1,97,1,5,19,3,0,0,3,,0.02,0.02,4.6,0.0
目黒優佳,JTマーヴェラス,11,52,31,14,65,120,48,5,40.0,35.8,2,0,0,4,141,5,3,28,220,111,58,57,0.0,0.74,0.06,8.0,63.6
石井優希,久光製薬スプリングス,6,54,18,17,68,781,278,37,35.6,30.9,58,16,6,12,274,13,19,93,434,229,83,303,27.6,4.09,0.18,11.5,62.3
石川真奈,東レアローズ,10,46,33,13,35,61,19,9,31.1,16.4,1,0,0,4,44,2,7,13,82,27,13,25,0.0,0.54,0.11,8.0,40.9
石橋桃子,デンソーエアリービーズ,12,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
石田瑞穂,デンソーエアリービーズ,22,29,35,8,51,351,110,23,31.3,24.8,47,13,4,14,190,9,13,51,7,0,5,133,27.7,2.16,0.27,9.7,35.7
秋山愛海,PFUブルーキャッツ,10,16,60,0,65,559,170,39,30.4,23.4,71,18,7,15,197,9,18,51,408,125,96,194,25.4,2.62,0.23,8.8,42.4
積山春花,デンソーエアリービーズ,2,20,29,5,20,45,14,5,31.1,20.0,0,0,0,3,85,7,7,27,5,3,0,24,,0.7,0.15,14.1,60.0
窪田美侑,日立リヴァーレ,19,36,49,8,75,398,153,20,38.4,33.4,3,0,0,18,286,8,8,88,471,225,109,179,0.0,2.04,0.24,9.8,59.3
筒井さやか,久光製薬スプリングス,20,57,19,18,47,0,0,0,,,0,0,0,0,0,0,0,0,67,31,16,0,,0.0,0.0,,58.2
篠原沙耶香,NECレッドロケッツ,11,30,25,8,31,0,0,0,,,0,0,0,0,51,1,3,17,0,0,0,1,,0.0,0.0,8.8,
綿引菜都美,KUROBEアクアフェアリーズ,6,13,55,2,3,6,2,0,33.3,33.3,0,0,0,1,4,0,0,1,0,0,0,3,,0.67,0.33,6.2,
舛田紗淑,KUROBEアクアフェアリーズ,9,13,55,2,18,53,13,9,24.5,7.5,4,1,2,0,31,1,2,7,66,20,15,14,25.0,0.72,0.0,7.3,41.7
芥川愛加,JTマーヴェラス,1,52,31,14,83,321,136,22,42.4,35.5,1,0,0,38,271,14,34,98,3,1,0,188,0.0,1.64,0.46,11.1,33.3
芳賀舞波,日立リヴァーレ,6,8,10,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
若松歩実,埼玉上尾メディックス,22,7,10,1,6,9,2,0,22.2,22.2,0,0,0,0,0,0,0,0,0,0,0,2,,0.33,0.0,,
荒木夕貴,埼玉上尾メディックス,19,30,25,9,14,84,21,4,25.0,20.2,2,1,0,2,35,2,2,11,82,26,19,25,50.0,1.5,0.14,12.1,43.3
荒木絵里香,トヨタ車体クインシーズ,11,36,21,11,57,222,89,13,40.1,34.2,0,0,0,45,210,16,20,71,10,5,1,150,,1.56,0.79,13.7,55.0
荒谷栞,NECレッドロケッツ,14,43,36,11,52,275,110,4,40.0,38.5,27,9,1,12,151,9,19,56,110,27,24,131,33.3,2.12,0.23,12.1,35.5
菅野菜緒美,KUROBEアクアフェアリーズ,10,11,31,2,12,0,0,0,,,0,0,0,0,13,0,2,6,0,0,0,0,,0.0,0.0,7.7,
藪田美穂子,トヨタ車体クインシーズ,17,40,28,12,25,81,16,11,19.8,6.2,7,0,2,2,62,4,3,18,127,50,23,22,0.0,0.64,0.08,12.5,48.4
西村弥菜美,岡山シーガルズ,10,11,23,1,21,28,4,2,14.3,7.1,0,0,0,0,31,0,2,10,47,26,8,4,,0.19,0.0,6.5,63.8
谷七海,PFUブルーキャッツ,7,16,60,0,76,0,0,0,,,0,0,0,0,0,0,0,0,244,93,53,0,,0.0,0.0,,49.0
辻彩乃,トヨタ車体クインシーズ,9,12,16,3,2,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
