名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
戸江真奈,02,久光製薬スプリングス,18,16,0,0,0,,,0,0,0,0,0,0,0,0,70,38,16,,0.0,0.0,,65.7
戸江真奈,11,久光製薬スプリングス,18,14,0,0,0,,,0,0,0,0,0,0,0,0,62,33,15,,0.0,0.0,,65.3
戸江真奈,12,久光製薬スプリングス,18,15,0,0,0,,,0,0,0,0,0,0,0,0,79,39,18,,0.0,0.0,,60.8
新鍋理沙,01,久光製薬スプリングス,3,22,131,56,4,42.7,39.7,0,0,0,11,113,6,11,37,71,54,6,,2.5,0.5,11.1,80.3
新鍋理沙,02,久光製薬スプリングス,3,13,61,23,3,37.7,32.8,0,0,0,5,56,1,5,20,57,25,20,,1.8,0.4,8.5,61.4
新鍋理沙,11,久光製薬スプリングス,3,14,81,36,6,44.4,37.0,0,0,0,8,49,1,6,22,32,14,5,,2.6,0.6,10.2,51.6
新鍋理沙,12,久光製薬スプリングス,3,15,82,39,2,47.6,45.1,1,0,0,9,65,2,5,18,68,43,16,0.0,2.6,0.6,8.1,75.0
日高萌,01,東レアローズ,4,17,0,0,0,,,0,0,0,0,26,1,1,5,0,0,0,,0.0,0.0,7.7,
日高萌,02,東レアローズ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
日高萌,11,東レアローズ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
日高萌,12,東レアローズ,4,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,,0.0,0.0,0.0,
早坂梢依,01,デンソーエアリービーズ,7,7,3,1,1,33.3,0.0,0,0,0,0,17,0,0,5,0,0,0,,0.1,0.0,7.4,
