名前,チーム,背番号,月,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
深萱知代,JTマーヴェラス,12,117,29,11,9,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
渡邊彩,トヨタ車体クインシーズ,7,146,24,36,6,55,240,93,7,38.8,35.8,1,0,0,17,146,7,5,42,8,3,2,117,0.0,1.69,0.31,11.1,50.0
渡邊真恵,岡山シーガルズ,6,144,33,27,10,59,488,187,27,38.3,32.8,32,8,3,11,201,6,6,40,49,26,5,204,25.0,3.17,0.19,7.2,58.2
溝口由利香,ヴィクトリーナ姫路,18,5,5,14,1,6,0,0,0,,,0,0,0,0,0,0,0,0,16,6,2,0,,0.0,0.0,,43.8
澤田由佳,NECレッドロケッツ,10,124,40,16,12,53,4,2,0,50.0,50.0,0,0,0,2,171,4,6,50,3,0,0,8,,0.04,0.04,8.8,0.0
濱松明日香,久光スプリングス,17,140,24,24,6,18,72,29,5,40.3,33.3,0,0,0,6,45,1,5,17,2,1,0,36,,1.61,0.33,8.9,50.0
瀬戸杏華,PFUブルーキャッツ,2,78,4,27,0,12,26,6,2,23.1,15.4,0,0,0,4,27,1,6,9,3,1,0,11,,0.5,0.33,6.5,33.3
熊井風音,トヨタ車体クインシーズ,10,144,21,33,5,11,75,24,3,32.0,28.0,4,0,0,1,37,1,4,8,52,22,11,26,0.0,2.18,0.09,5.4,52.9
田中咲希,ヴィクトリーナ姫路,13,147,21,50,3,70,539,221,25,41.0,36.4,10,2,1,9,152,4,9,45,260,113,46,234,20.0,3.16,0.13,8.6,52.3
田中瑞稀,JTマーヴェラス,6,143,40,15,12,49,500,176,24,35.2,30.4,41,14,7,7,186,8,26,53,355,154,89,191,34.1,3.59,0.14,7.9,55.9
田代佳奈美,デンソーエアリービーズ,6,143,35,19,10,53,40,20,0,50.0,50.0,3,0,0,6,177,7,7,53,2,0,0,33,0.0,0.38,0.11,10.5,0.0
田原愛里,デンソーエアリービーズ,8,65,18,6,6,2,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
田口絢佳,岡山シーガルズ,3,33,6,6,2,3,2,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
田川紘美,埼玉上尾メディックス,20,144,32,29,9,34,1,1,0,100.0,100.0,0,0,0,0,58,2,1,18,1,0,0,3,,0.03,0.0,10.8,0.0
白井美沙紀,東レアローズ,4,145,51,10,17,48,1,1,0,100.0,100.0,0,0,0,0,78,1,8,19,0,0,0,2,,0.02,0.0,4.8,
白澤明香里,久光スプリングス,13,22,5,4,1,7,0,0,0,,,0,0,0,0,9,1,1,5,0,0,0,1,,0.0,0.0,22.2,
