試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2010-03-21,日立リヴァーレ,10,,山本友里恵,3,■,■,■,nan,nan,6,4,0,0.6666666666666666,0.6666666666666666,1.33,0,0,0,-,3,1.00,6,0,0,2,8.3,0,0,0,-
2010-03-21,日立リヴァーレ,11,,川原愛璃,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,日立リヴァーレ,12,,遠井萌仁,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,日立リヴァーレ,15,,城美鈴,3,■,■,■,nan,nan,20,9,1,0.45,0.4,3.00,0,0,0,-,0,-,15,2,0,6,20.7,19,14,0,73.7
2010-03-21,日立リヴァーレ,18,,張紫音,3,■,■,■,nan,nan,16,10,1,0.625,0.5625,3.33,0,0,0,-,3,1.00,8,1,0,2,16.2,0,0,0,-
2010-03-21,日立リヴァーレ,19,L,中村かおり,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,9,0,75.0
2010-03-21,日立リヴァーレ,20,,江畑幸子,3,■,■,■,nan,nan,29,16,2,0.5517241379310345,0.4827586206896552,5.33,1,1,0,100.0,4,1.33,13,1,1,5,15.8,0,0,0,-
2010-03-21,日立リヴァーレ,21,L,佐藤瞳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,日立リヴァーレ,22,,戸崎琴美,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-
2010-03-21,日立リヴァーレ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,83,46,5,0.5542168674698795,0.4939759036144578,15.33,1,1,0,100.0,15,5.00,74,5,4,27,14.5,44,31,0,70.5
2010-03-21,埼玉上尾メディックス,2,,白田博子,2,■,■,nan,nan,nan,7,3,0,0.42857142857142855,0.42857142857142855,1.50,0,0,0,-,0,-,6,1,2,2,21.7,1,0,0,0.0
2010-03-21,埼玉上尾メディックス,3,,南早希,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,埼玉上尾メディックス,4,,庄司夕起,3,■,■,■,nan,nan,13,8,0,0.6153846153846154,0.6153846153846154,2.67,0,0,0,-,3,1.00,16,1,1,0,5.0,1,0,0,0.0
2010-03-21,埼玉上尾メディックス,5,,服部安佑香,3,□,□,■,nan,nan,8,2,2,0.25,0.0,0.67,0,0,0,-,0,-,8,1,0,1,13.1,14,10,0,71.4
2010-03-21,埼玉上尾メディックス,7,L,滝沢ななえ,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,10,0,71.4
2010-03-21,埼玉上尾メディックス,9,,澤畠文子,3,■,■,■,nan,nan,28,14,0,0.5,0.5,4.67,0,0,0,-,2,0.67,14,0,1,1,1.8,20,14,0,70.0
2010-03-21,埼玉上尾メディックス,10,L,平安座あきな,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,埼玉上尾メディックス,11,,福田みつ子,2,□,nan,□,nan,nan,3,1,0,0.3333333333333333,0.3333333333333333,0.50,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-03-21,埼玉上尾メディックス,13,,土田望未,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,13,0,0,5,9.6,0,0,0,-
2010-03-21,埼玉上尾メディックス,15,,細川麻美,3,■,■,■,nan,nan,25,12,3,0.48,0.36,4.00,0,0,0,-,2,0.67,10,1,2,3,17.5,1,1,0,100.0
2010-03-21,埼玉上尾メディックス,16,,皆本明日香,1,nan,□,nan,nan,nan,4,1,0,0.25,0.25,1.00,0,0,0,-,1,1.00,0,0,0,0,-,0,0,0,-
