名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
後藤恵里,2005-01,武富士バンブー,18,7,6,3,0,50.0,50.0,0,0,0,2,0,0,0,0,1,1,0,5,,0.43,0.29,,100.0
後藤恵里,2005-02,武富士バンブー,18,5,12,6,1,50.0,41.7,0,0,0,0,0,0,0,0,0,0,0,6,,1.2,0.0,,
成田郁久美,2004-11,久光製薬スプリングス,2,29,114,46,5,40.4,36.0,0,0,0,21,101,4,22,25,133,87,0,71,,1.59,0.72,4.7,65.4
成田郁久美,2004-12,久光製薬スプリングス,2,22,76,34,2,44.7,42.1,0,0,0,7,86,6,17,18,101,86,0,47,,1.55,0.32,7.3,85.1
成田郁久美,2005-01,久光製薬スプリングス,2,23,90,30,3,33.3,30.0,0,0,0,14,86,9,21,18,177,148,0,53,,1.3,0.61,9.6,83.6
成田郁久美,2005-02,久光製薬スプリングス,2,30,123,49,5,39.8,35.8,0,0,0,15,111,5,13,28,206,159,0,69,,1.63,0.5,7.9,77.2
春山幸恵,2004-11,武富士バンブー,17,8,0,0,0,,,0,0,0,0,2,0,0,2,6,4,0,0,,0.0,0.0,25.0,66.7
春山幸恵,2004-12,武富士バンブー,17,7,0,0,0,,,0,0,0,0,0,0,0,0,17,8,0,0,,0.0,0.0,,47.1
春山幸恵,2005-01,武富士バンブー,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
春山幸恵,2005-02,武富士バンブー,17,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
有田佳織,2004-11,NECレッドロケッツ,6,35,0,0,0,,,0,0,0,0,0,0,0,0,241,177,0,0,,0.0,0.0,,73.4
有田佳織,2004-12,NECレッドロケッツ,6,21,0,0,0,,,0,0,0,0,0,0,0,0,155,126,0,0,,0.0,0.0,,81.3
有田佳織,2005-01,NECレッドロケッツ,6,19,0,0,0,,,0,0,0,0,0,0,0,0,143,103,0,0,,0.0,0.0,,72.0
有田佳織,2005-02,NECレッドロケッツ,6,30,0,0,0,,,0,0,0,0,0,0,0,0,271,191,0,0,,0.0,0.0,,70.5
有田沙織,2004-12,NECレッドロケッツ,12,4,3,1,0,33.3,33.3,0,0,0,0,1,0,1,0,3,3,0,1,,0.25,0.0,-25.0,100.0
有田沙織,2005-01,NECレッドロケッツ,12,4,12,3,1,25.0,16.7,0,0,0,0,5,0,1,1,4,3,0,3,,0.75,0.0,0.0,75.0
有田沙織,2005-02,NECレッドロケッツ,12,5,7,2,0,28.6,28.6,0,0,0,0,1,0,0,1,0,0,0,2,,0.4,0.0,25.0,
朝倉香苗,2004-11,JTマーヴェラス,11,24,0,0,0,,,0,0,0,0,0,0,0,0,32,25,0,0,,0.0,0.0,,78.1
朝倉香苗,2004-12,JTマーヴェラス,11,8,0,0,0,,,0,0,0,0,0,0,0,0,14,8,0,0,,0.0,0.0,,57.1
朝倉香苗,2005-01,JTマーヴェラス,11,15,0,0,0,,,0,0,0,0,0,0,0,0,20,12,0,0,,0.0,0.0,,60.0
朝倉香苗,2005-02,JTマーヴェラス,11,12,0,0,0,,,0,0,0,0,0,0,0,0,30,20,0,0,,0.0,0.0,,66.7
杉山祥子,2004-11,NECレッドロケッツ,2,35,186,96,10,51.6,46.2,0,0,0,26,147,6,11,48,2,2,0,128,,2.74,0.74,10.4,100.0
杉山祥子,2004-12,NECレッドロケッツ,2,21,106,47,2,44.3,42.5,1,0,0,14,104,6,8,26,11,8,0,67,0.0,2.24,0.67,10.1,72.7
杉山祥子,2005-01,NECレッドロケッツ,2,19,104,48,8,46.2,38.5,0,0,0,14,84,2,5,26,5,2,0,64,,2.53,0.74,8.6,40.0
杉山祥子,2005-02,NECレッドロケッツ,2,30,154,65,12,42.2,34.4,0,0,0,22,104,1,3,32,3,1,0,88,,2.17,0.73,7.9,33.3
村田奈都美,2004-11,シーガルズ,12,3,0,0,0,,,0,0,0,0,3,0,0,0,5,4,0,0,,0.0,0.0,0.0,80.0
村田奈都美,2004-12,シーガルズ,12,3,6,3,0,50.0,50.0,0,0,0,0,4,0,1,1,2,1,0,3,,1.0,0.0,0.0,50.0
松下友香,2004-11,デンソーエアリービーズ,13,4,0,0,0,,,0,0,0,0,6,0,1,2,0,0,0,0,,0.0,0.0,4.2,
松下友香,2004-12,デンソーエアリービーズ,13,3,0,0,0,,,0,0,0,0,5,1,0,0,0,0,0,1,,0.0,0.0,20.0,
松下友香,2005-01,デンソーエアリービーズ,13,6,0,0,0,,,0,0,0,0,6,0,0,2,0,0,0,0,,0.0,0.0,8.3,
松下友香,2005-02,デンソーエアリービーズ,13,8,0,0,0,,,0,0,0,0,12,0,0,5,0,0,0,0,,0.0,0.0,10.4,
松尾留比子,2005-01,茂原アルカス,18,1,3,1,0,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,0.0,,
松尾留比子,2005-02,茂原アルカス,18,1,2,1,0,50.0,50.0,0,0,0,0,0,0,0,0,2,2,0,1,,1.0,0.0,,100.0
松崎さ代子,2004-11,NECレッドロケッツ,7,13,26,9,3,34.6,23.1,0,0,0,0,3,0,2,0,1,0,0,9,,0.69,0.0,-16.7,0.0
松崎さ代子,2004-12,NECレッドロケッツ,7,10,44,20,1,45.5,43.2,8,4,0,3,13,1,4,2,3,2,0,24,50.0,2.0,0.3,3.8,66.7
松崎さ代子,2005-01,NECレッドロケッツ,7,13,92,35,9,38.0,28.3,19,10,2,4,34,2,11,10,4,2,0,41,52.6,2.69,0.31,5.1,50.0
松崎さ代子,2005-02,NECレッドロケッツ,7,18,16,7,2,43.8,31.2,0,0,0,1,2,0,2,0,0,0,0,8,,0.39,0.06,-25.0,
板橋恵,2004-11,日立リヴァーレ,2,25,23,14,0,60.9,60.9,0,0,0,1,81,3,8,35,0,0,0,18,,0.56,0.04,12.0,
