試合日,年月,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2017-11-05,2017-11,11,VC長野トライデンツ,26,,池田浩基,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,大同特殊鋼レッドスター,1,L,伊澤啓生,3,〇,〇,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,大同特殊鋼レッドスター,2,,松山徹,2,■,■,,,,28,7,1,0.25,0.21428571428571427,3.50,11,3,0,27.3,0,-,10,0,1,2,2.5,0,0,0,-
2017-11-05,2017-11,11,大同特殊鋼レッドスター,3,,久保田雅人,3,■,■,■,,,25,9,3,0.36,0.24,3.00,0,0,0,-,2,0.67,8,0,0,3,9.4,6,2,1,41.7
2017-11-05,2017-11,11,大同特殊鋼レッドスター,4,,田中尚,3,□,□,■,,,9,6,0,0.6666666666666666,0.6666666666666666,2.00,0,0,0,-,1,0.33,4,0,1,2,6.2,0,0,0,-
2017-11-05,2017-11,11,大同特殊鋼レッドスター,5,,平野晃多,2,■,■,,,,5,2,0,0.4,0.4,1.00,0,0,0,-,0,-,5,0,0,2,10.0,2,1,0,50.0
2017-11-05,2017-11,11,大同特殊鋼レッドスター,8,,藤元公貴,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,大同特殊鋼レッドスター,9,,長谷川優太,3,■,■,■,,,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,12,1,2,0,4.2,1,0,0,0.0
2017-11-05,2017-11,11,大同特殊鋼レッドスター,10,,二五田大輔,2,,□,□,,,4,1,0,0.25,0.25,0.50,0,0,0,-,0,-,2,0,0,0,0.0,6,1,2,33.3
2017-11-05,2017-11,11,大同特殊鋼レッドスター,13,L,草場貴成,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,11,4,68.4
2017-11-05,2017-11,11,大同特殊鋼レッドスター,14,,森田貴秀,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-05,2017-11,11,大同特殊鋼レッドスター,16,,川口一貴,3,■,■,■,,,8,3,0,0.375,0.375,1.00,0,0,0,-,0,-,8,0,0,1,3.1,0,0,0,-
2017-11-05,2017-11,11,大同特殊鋼レッドスター,19,,宮原博明,2,□,,■,,,9,1,1,0.1111111111111111,0.0,0.50,1,0,1,0.0,0,-,1,0,1,0,-25.0,8,3,3,56.2
2017-11-05,2017-11,11,大同特殊鋼レッドスター,20,,木村拓哉,3,■,■,■,,,31,8,2,0.25806451612903225,0.1935483870967742,2.67,9,4,1,44.4,0,-,11,0,3,5,4.5,20,9,5,57.5
2017-11-05,2017-11,11,大同特殊鋼レッドスター,21,,嶋津京将,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,1,,中川剛,3,■,■,■,,,24,13,2,0.5416666666666666,0.4583333333333333,4.33,11,5,1,45.5,0,-,19,1,3,6,9.2,0,0,0,-
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,3,L,田中紀幸,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,4,,柳田百織,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,5,,横田圭祐,3,■,■,■,,,5,4,0,0.8,0.8,1.33,0,0,0,-,0,-,7,0,0,0,0.0,0,0,0,-
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,7,,加藤大雄,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
