名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
久原翼,2021-03,パナソニックパンサーズ,7,9,39,13,2,33.3,28.2,6,3,0,3,35,3,3,10,13.6,34,17,7,19,50.0,1.44,0.33,60.3
井上仁,2020-10,FC東京,5,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
井上仁,2020-11,FC東京,5,11,26,12,2,46.2,38.5,0,0,0,3,24,3,3,5,14.6,3,2,1,18,,1.09,0.27,83.3
井上仁,2020-12,FC東京,5,7,21,12,0,57.1,57.1,0,0,0,3,23,2,4,9,14.1,4,3,0,17,,1.71,0.43,75.0
井上仁,2021-01,FC東京,5,3,5,2,0,40.0,40.0,0,0,0,0,12,0,2,3,2.1,2,1,0,2,,0.67,0.0,50.0
井上仁,2021-02,FC東京,5,5,11,4,0,36.4,36.4,0,0,0,3,8,0,0,0,0.0,1,0,0,7,,0.8,0.6,0.0
井上仁,2021-03,FC東京,5,3,7,3,0,42.9,42.9,0,0,0,0,7,0,0,1,3.6,1,1,0,3,,1.0,0.0,100.0
井上慎一朗,2020-10,JTサンダーズ広島,5,4,16,9,1,56.2,50.0,3,1,0,1,10,1,3,2,7.5,8,4,2,11,33.3,2.25,0.25,62.5
井上慎一朗,2020-11,JTサンダーズ広島,5,16,20,7,2,35.0,25.0,3,1,1,1,12,0,5,3,-4.2,5,1,2,8,33.3,0.44,0.06,40.0
井上慎一朗,2020-12,JTサンダーズ広島,5,1,2,1,1,50.0,0.0,0,0,0,0,1,0,0,0,0.0,3,0,0,1,,1.0,0.0,0.0
井上慎一朗,2021-01,JTサンダーズ広島,5,7,0,0,0,,,0,0,0,0,13,1,2,0,3.8,0,0,0,1,,0.0,0.0,
井上慎一朗,2021-02,JTサンダーズ広島,5,6,0,0,0,,,0,0,0,0,7,1,5,1,0.0,0,0,0,1,,0.0,0.0,
井上航,2020-10,JTサンダーズ広島,10,3,0,0,0,,,0,0,0,0,0,0,0,0,,4,2,2,0,,0.0,0.0,75.0
井上航,2020-11,JTサンダーズ広島,10,1,0,0,0,,,0,0,0,0,0,0,0,0,,2,0,1,0,,0.0,0.0,25.0
井上航,2020-12,JTサンダーズ広島,10,7,0,0,0,,,0,0,0,0,0,0,0,0,,20,12,3,0,,0.0,0.0,67.5
井上航,2021-01,JTサンダーズ広島,10,7,0,0,0,,,0,0,0,0,0,0,0,0,,8,3,1,0,,0.0,0.0,43.8
井上航,2021-02,JTサンダーズ広島,10,26,0,0,0,,,0,0,0,0,0,0,0,0,,78,39,15,0,,0.0,0.0,59.6
井上航,2021-03,JTサンダーズ広島,10,12,0,0,0,,,0,0,0,0,0,0,0,0,,54,24,20,0,,0.0,0.0,63.0
井口直紀,2020-10,大分三好ヴァイセアドラー,21,15,2,0,0,0.0,0.0,0,0,0,2,37,0,1,8,4.7,1,0,0,2,,0.0,0.13,0.0
井口直紀,2020-11,大分三好ヴァイセアドラー,21,8,0,0,0,,,0,0,0,0,25,0,2,5,3.0,0,0,0,0,,0.0,0.0,
井口直紀,2020-12,大分三好ヴァイセアドラー,21,7,1,0,0,0.0,0.0,0,0,0,0,7,0,0,1,3.6,0,0,0,0,,0.0,0.0,
井口直紀,2021-01,大分三好ヴァイセアドラー,21,17,0,0,0,,,0,0,0,0,45,1,3,8,5.0,1,0,0,1,,0.0,0.0,0.0
井口直紀,2021-02,大分三好ヴァイセアドラー,21,20,1,1,0,100.0,100.0,0,0,0,0,55,0,3,8,2.3,0,0,0,1,,0.05,0.0,
井口直紀,2021-03,大分三好ヴァイセアドラー,21,14,1,1,0,100.0,100.0,0,0,0,1,45,1,3,6,3.9,0,0,0,3,,0.07,0.07,
