名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率,総得点
安永拓弥,JTサンダーズ広島,1,18,36,20,2,55.6,50.0,0,0,0,4,32,0,3,2,5,0,2,,1.11,0.22,-0.8,20.0,24
宮原和輝,FC東京,22,4,0,0,0,,,0,0,0,0,6,0,0,2,1,0,1,,0.0,0.0,8.3,50.0,0
宮原貴人,堺ブレイザーズ,3,11,15,7,1,46.7,40.0,5,1,1,0,4,1,1,1,0,0,0,20.0,0.64,0.0,25.0,,8
富松崇彰,東レアローズ,1,20,52,33,3,63.5,57.7,0,0,0,14,61,3,4,14,5,3,1,,1.65,0.7,9.0,70.0,50
富田将馬,東レアローズ,9,43,250,116,18,46.4,39.2,34,12,3,8,171,12,31,43,307,159,79,35.3,2.7,0.19,8.8,64.7,136
小宮雄一郎,パナソニックパンサーズ,22,38,74,48,1,64.9,63.5,0,0,0,18,116,2,19,30,9,5,3,,1.26,0.47,4.1,72.2,68
小川智大,ウルフドッグス名古屋,24,41,0,0,0,,,0,0,0,0,0,0,0,0,210,136,43,,0.0,0.0,,75.0,0
小川猛,サントリーサンバーズ,18,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,,0
小林光輝,ジェイテクトSTINGS,10,11,3,1,0,33.3,33.3,0,0,0,1,23,1,5,7,0,0,0,,0.09,0.09,6.5,,3
小池勇輝,堺ブレイザーズ,12,14,0,0,0,,,0,0,0,0,13,1,7,2,5,1,1,,0.0,0.0,-1.9,30.0,1
小澤宙輝,東レアローズ,17,17,139,65,8,46.8,41.0,44,18,4,2,63,5,11,22,24,9,7,40.9,3.82,0.12,12.3,52.1,72
小野寺太志,JTサンダーズ広島,2,45,179,99,6,55.3,52.0,0,0,0,36,170,10,13,49,14,5,1,,2.2,0.8,11.2,39.3,145
小野遥輝,サントリーサンバーズ,3,48,120,63,3,52.5,50.0,0,0,0,21,145,9,51,49,9,2,4,,1.31,0.44,5.9,44.4,93
