名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
小池杏菜,日立リヴァーレ,10,13,0,0,0,,,0,0,0,0,0,0,0,0,,15,10,2,0,,0.0,0.0,73.3
小西愛衣,KUROBEアクアフェアリーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
小野寺友香,日立リヴァーレ,2,7,3,0,0,0.0,0.0,0,0,0,4,16,1,0,5,14.1,1,0,0,5,,0.0,0.57,0.0
小野寺夏希,岡山シーガルズ,31,13,2,0,0,0.0,0.0,0,0,0,0,31,0,0,5,4.0,1,0,0,0,,0.0,0.0,0.0
居村杏奈,岡山シーガルズ,12,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
山上有紀,トヨタ車体クインシーズ,18,9,0,0,0,,,0,0,0,1,11,1,1,4,15.9,0,0,0,2,,0.0,0.11,
山下遥香,PFUブルーキャッツ,9,5,0,0,0,,,0,0,0,1,10,0,1,4,7.5,2,0,0,1,,0.0,0.2,0.0
山内美咲,NECレッドロケッツ,12,12,72,24,3,33.3,29.2,10,3,0,4,57,6,5,23,18.4,67,21,23,34,30.0,2.0,0.33,48.5
山口珠李,埼玉上尾メディックス,6,2,4,1,0,25.0,25.0,0,0,0,1,5,0,0,1,5.0,0,0,0,2,,0.5,0.5,
山城愛心,KUROBEアクアフェアリーズ,6,7,54,11,2,20.4,16.7,2,0,1,0,13,0,0,7,13.5,49,17,13,11,0.0,1.57,0.0,48.0
山岸あかね,埼玉上尾メディックス,7,7,0,0,0,,,0,0,0,0,0,0,0,0,,32,16,3,0,,0.0,0.0,54.7
山崎のの花,埼玉上尾メディックス,5,7,3,2,0,66.7,66.7,0,0,0,0,19,0,0,3,3.9,0,0,0,2,,0.29,0.0,
山形理沙子,トヨタ車体クインシーズ,20,17,14,8,0,57.1,57.1,0,0,0,0,37,3,0,13,16.9,0,0,0,11,,0.47,0.0,
岩澤実育,埼玉上尾メディックス,12,4,0,0,0,,,0,0,0,0,8,0,1,2,3.1,2,0,0,0,,0.0,0.0,0.0
島田美紅,KUROBEアクアフェアリーズ,7,11,36,14,7,38.9,19.4,0,0,0,1,30,1,2,5,5.8,24,5,12,16,,1.27,0.09,45.8
島畑奈緒子,PFUブルーキャッツ,14,5,1,0,0,0.0,0.0,0,0,0,0,8,0,2,3,3.1,0,0,0,0,,0.0,0.0,
川上雛菜,NECレッドロケッツ,17,11,12,4,1,33.3,25.0,1,1,0,0,15,0,0,3,5.0,10,7,0,4,100.0,0.36,0.0,70.0
工藤嶺,デンソーエアリービーズ,21,10,75,35,5,46.7,40.0,21,7,2,0,41,2,2,16,13.4,23,13,4,37,33.3,3.5,0.0,65.2
平山詩嫣,久光スプリングス,19,9,0,0,0,,,0,0,0,0,18,1,2,7,12.5,0,0,0,1,,0.0,0.0,
