名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
大木美沙季,2020-10,フォレストリーヴズ熊本,2,3,24,8,1,33.3,29.2,0,0,0,1,14,0,0,1,0,0,0,,2.67,0.33,1.8,
大木美沙季,2020-11,フォレストリーヴズ熊本,2,16,144,45,6,31.2,27.1,0,0,0,1,43,0,2,11,6,1,0,,2.81,0.06,5.2,16.7
大木美沙季,2020-12,フォレストリーヴズ熊本,2,2,5,1,0,20.0,20.0,0,0,0,0,2,0,0,1,0,0,0,,0.5,0.0,12.5,
大西真咲,2020-10,大野石油広島オイラーズ,2,3,0,0,0,,,0,0,0,0,3,0,1,1,8,3,0,,0.0,0.0,0.0,37.5
大西真咲,2020-11,大野石油広島オイラーズ,2,12,15,3,4,20.0,-6.7,1,0,1,1,20,0,1,5,32,12,12,0.0,0.25,0.08,5.0,56.2
大西真咲,2020-12,大野石油広島オイラーズ,2,7,83,29,7,34.9,26.5,0,0,0,0,25,0,1,6,63,29,18,,4.14,0.0,5.0,60.3
大西真咲,2021-01,大野石油広島オイラーズ,2,9,80,21,6,26.2,18.8,2,0,1,0,25,2,0,7,69,32,7,0.0,2.33,0.0,15.0,51.4
大西真咲,2021-02,大野石油広島オイラーズ,2,2,12,2,1,16.7,8.3,0,0,0,0,7,1,0,0,11,6,2,,1.0,0.0,14.3,63.6
安福若菜,2020-11,群馬銀行グリーンウイングス,16,25,174,72,9,41.4,36.2,0,0,0,8,58,3,0,15,3,1,0,,2.88,0.32,11.6,33.3
安福若菜,2020-12,群馬銀行グリーンウイングス,16,8,73,21,6,28.8,20.5,0,0,0,5,23,0,1,0,1,0,0,,2.62,0.62,-1.1,0.0
