試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-10-31,2020-10,フォレストリーヴズ熊本,10,,和多千里,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2020-10-31,2020-10,フォレストリーヴズ熊本,11,,伊藤琴音,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,フォレストリーヴズ熊本,12,,入江彩水,3,■,■,■,nan,nan,30,11,3,0.36666666666666664,0.26666666666666666,3.67,0,0,0,-,2,0.67,7,0,1,1,0.0,0,0,0,-
2020-10-31,2020-10,フォレストリーヴズ熊本,15,,白岩蘭奈,3,■,■,■,nan,nan,37,9,4,0.24324324324324326,0.13513513513513514,3.00,4,1,0,25.0,0,-,14,1,3,5,10.7,26,3,7,25.0
2020-10-31,2020-10,フォレストリーヴズ熊本,16,,和田法子,2,□,nan,□,nan,nan,7,1,1,0.14285714285714285,0.0,0.50,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
2020-10-31,2020-10,ブレス浜松,1,,熊本比奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,ブレス浜松,2,,中野祐希,3,■,■,■,nan,nan,22,7,2,0.3181818181818182,0.22727272727272727,2.33,5,1,2,20.0,1,0.33,4,0,2,0,-12.5,0,0,0,-
2020-10-31,2020-10,ブレス浜松,3,,播磨若奈,3,■,■,■,nan,nan,2,1,0,0.5,0.5,0.33,0,0,0,-,0,-,9,0,0,4,11.1,0,0,0,-
2020-10-31,2020-10,ブレス浜松,6,L,松川美咲,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,14,4,80.0
2020-10-31,2020-10,ブレス浜松,10,,多田遥,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,ブレス浜松,11,,加藤彩夏,2,nan,□,□,nan,nan,6,2,0,0.3333333333333333,0.3333333333333333,1.00,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
2020-10-31,2020-10,ブレス浜松,12,,高田真央,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,ブレス浜松,14,,藤原ちひろ,3,■,■,■,nan,nan,9,2,1,0.2222222222222222,0.1111111111111111,0.67,0,0,0,-,5,1.67,12,0,0,8,16.7,0,0,0,-
2020-10-31,2020-10,ブレス浜松,21,,水上真悠子,3,■,■,■,nan,nan,61,20,3,0.32786885245901637,0.2786885245901639,6.67,17,6,1,35.3,0,-,11,0,2,3,2.3,17,8,3,55.9
2020-10-31,2020-10,ブレス浜松,22,,島原玖南,2,nan,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,0,2,16.7,0,0,0,-
2020-10-31,2020-10,ブレス浜松,23,,浅野奈菜,3,■,■,■,nan,nan,20,6,1,0.3,0.25,2.00,0,0,0,-,2,0.67,20,0,1,9,10.0,0,0,0,-
2020-10-31,2020-10,ブレス浜松,24,,宮崎陽衣,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,ブレス浜松,25,,小川祐奈,3,■,■,■,nan,nan,23,9,4,0.391304347826087,0.21739130434782608,3.00,3,1,0,33.3,0,-,12,0,1,5,8.3,21,9,9,64.3
