名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
森谷史佳,パイオニアレッドウィングス,15,116,102,511,181,30,35.4,29.5,0,0,0,50,325,7,30,118,19,12,0,238,,1.77,0.49,8.9,63.2
横江千秋,JTマーヴェラス,13,111,93,0,0,0,,,0,0,0,0,0,0,0,0,359,219,0,0,,0.0,0.0,,61.0
横田千里,パイオニアレッドウィングス,3,117,70,0,0,0,,,0,0,0,0,107,3,1,30,1,0,0,3,,0.0,0.0,9.6,0.0
橋本直子,JTマーヴェラス,16,117,109,66,26,2,39.4,36.4,1,0,0,17,336,6,17,104,6,1,0,49,0.0,0.24,0.16,8.3,16.7
水田祐未,久光製薬スプリングス,5,117,31,96,43,6,44.8,38.5,0,0,0,8,60,0,1,20,2,1,0,51,,1.39,0.26,7.9,50.0
永松幸乃,日立リヴァーレ,9,117,106,4,1,1,25.0,0.0,0,0,0,2,208,11,21,93,1,0,0,14,,0.01,0.02,13.9,0.0
江畑幸子,日立リヴァーレ,4,117,97,1189,467,74,39.3,33.1,211,91,16,24,323,12,28,119,1,0,0,503,43.1,4.81,0.25,10.8,0.0
河村聖子,トヨタ車体クインシーズ,15,93,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
浅津ゆうこ,パイオニアレッドウィングス,10,117,104,869,306,47,35.2,29.8,125,28,15,50,255,10,8,81,6,3,0,366,22.4,2.94,0.48,11.1,50.0
渡辺美穂,NECレッドロケッツ,11,115,5,1,1,0,100.0,100.0,0,0,0,0,2,0,1,0,0,0,0,1,,0.2,0.0,-12.5,
渡邉和香里,パイオニアレッドウィングス,17,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
狩野舞子,久光製薬スプリングス,11,115,68,1,1,0,100.0,100.0,0,0,0,5,59,2,3,25,1,0,0,8,,0.01,0.07,12.7,0.0
田中瑞稀,JTマーヴェラス,21,32,42,319,96,15,30.1,25.4,11,2,1,2,157,5,13,53,223,129,0,103,18.2,2.29,0.05,9.6,57.8
田中美咲,JTマーヴェラス,17,27,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
田代佳奈美,東レアローズ,11,117,109,20,12,1,60.0,55.0,0,0,0,11,178,6,10,64,3,0,0,29,,0.11,0.1,11.0,0.0
田村翔子,パイオニアレッドウィングス,13,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
白垣里紗,NECレッドロケッツ,9,117,100,569,170,40,29.9,22.8,89,25,12,23,206,14,11,54,3,3,0,207,28.1,1.7,0.23,12.0,100.0
眞恵子,トヨタ車体クインシーズ,18,102,24,24,9,3,37.5,25.0,0,0,0,3,11,0,1,2,0,0,0,12,,0.38,0.12,2.3,
矢野美子,トヨタ車体クインシーズ,2,70,88,362,166,12,45.9,42.5,0,0,0,28,312,9,16,117,5,2,0,203,,1.89,0.32,11.0,40.0
石井優希,久光製薬スプリングス,6,105,84,727,252,55,34.7,27.1,44,9,7,32,282,17,23,126,535,316,0,301,20.5,3.0,0.38,15.2,59.1
石井美樹,JTマーヴェラス,12,117,114,1194,360,73,30.2,24.0,135,30,14,29,395,13,27,144,681,479,0,402,22.2,3.16,0.25,10.7,70.3
石川友紀,JTマーヴェラス,9,117,105,708,290,42,41.0,35.0,1,0,0,48,348,16,63,114,26,16,0,354,0.0,2.76,0.46,8.3,61.5
石橋里紗,久光製薬スプリングス,23,112,44,13,4,0,30.8,30.8,0,0,0,5,80,3,9,37,1,1,0,12,,0.09,0.11,12.5,100.0
石田小枝,日立リヴァーレ,13,117,20,4,2,1,50.0,25.0,0,0,0,1,23,0,5,3,5,4,0,3,,0.1,0.05,-2.2,80.0
石田瑞穂,久光製薬スプリングス,22,117,65,484,163,38,33.7,25.8,63,14,9,12,147,8,8,54,218,140,0,183,22.2,2.51,0.18,13.3,64.2
福田舞,岡山シーガルズ,5,117,81,676,220,31,32.5,28.0,16,4,3,22,197,4,11,74,247,129,0,246,25.0,2.72,0.27,10.0,52.2
秋山美幸,NECレッドロケッツ,7,73,14,2,2,0,100.0,100.0,0,0,0,0,15,1,1,5,1,1,0,3,,0.14,0.0,13.3,100.0
竹内彩,トヨタ車体クインシーズ,17,80,22,150,47,11,31.3,24.0,2,0,1,4,46,0,4,12,9,2,0,51,0.0,2.14,0.18,4.3,22.2
竹田沙希,トヨタ車体クインシーズ,1,114,98,907,264,47,29.1,23.9,8,0,0,24,358,19,14,147,628,380,0,307,0.0,2.69,0.24,14.6,60.5
竹田麻衣,岡山シーガルズ,9,71,5,0,0,0,,,0,0,0,0,5,0,3,2,3,2,0,0,,0.0,0.0,-5.0,66.7
筒井さやか,久光製薬スプリングス,20,117,94,0,0,0,,,0,0,0,0,0,0,0,0,452,297,0,0,,0.0,0.0,,65.7
筒井視穂子,久光製薬スプリングス,7,101,16,1,0,0,0.0,0.0,0,0,0,0,7,0,0,2,13,6,0,0,,0.0,0.0,7.1,46.2
細川絢加,日立リヴァーレ,1,102,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
臼井千景,JTマーヴェラス,14,117,87,0,0,0,,,0,0,0,0,7,0,1,3,165,89,0,0,,0.0,0.0,7.1,53.9
芦野真未,パイオニアレッドウィングス,19,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
藤原亜紀,トヨタ車体クインシーズ,14,117,49,409,120,28,29.3,22.5,40,9,6,4,95,1,7,22,159,74,0,125,22.5,2.45,0.08,5.0,46.5
藤田夏未,トヨタ車体クインシーズ,4,117,105,44,9,0,20.5,20.5,2,0,0,11,385,12,27,158,0,0,0,32,0.0,0.09,0.1,11.6,
衛藤智美,トヨタ車体クインシーズ,6,117,29,69,30,2,43.5,40.6,0,0,0,5,91,3,4,30,2,1,0,38,,1.03,0.17,10.4,50.0
近江あかり,NECレッドロケッツ,6,93,98,665,199,38,29.9,24.2,8,0,0,36,334,10,24,131,582,358,0,245,0.0,2.03,0.37,11.0,61.5
迫田さおり,東レアローズ,6,117,117,1241,483,83,38.9,32.2,319,130,24,49,336,11,18,109,14,5,0,543,40.8,4.13,0.42,10.0,35.7
遠井萌仁,日立リヴァーレ,12,117,107,602,205,34,34.1,28.4,25,4,5,41,428,13,30,143,956,569,0,259,16.0,1.92,0.38,9.6,59.5
都築有美子,NECレッドロケッツ,3,117,100,720,237,27,32.9,29.2,5,3,0,26,295,16,29,96,588,362,0,279,60.0,2.37,0.26,11.1,61.6
野本梨佳,久光製薬スプリングス,8,105,43,282,92,22,32.6,24.8,23,6,6,11,65,0,3,34,32,16,0,103,26.1,2.14,0.26,11.9,50.0
野村明日香,東レアローズ,17,89,6,21,3,5,14.3,-9.5,1,0,1,0,10,0,0,4,29,13,0,3,0.0,0.5,0.0,10.0,44.8
金子早織,NECレッドロケッツ,12,70,24,0,0,0,,,0,0,0,0,31,2,6,5,0,0,0,2,,0.0,0.0,5.6,
金杉由香,JTマーヴェラス,20,12,1,2,0,1,0.0,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
長岡望悠,久光製薬スプリングス,1,94,91,787,350,53,44.5,37.7,169,51,18,25,301,12,22,104,18,11,0,387,30.2,3.85,0.27,10.8,61.1
関李香,岡山シーガルズ,4,117,76,280,113,9,40.4,37.1,1,0,0,45,199,15,13,58,2,0,0,173,0.0,1.49,0.59,13.2,0.0
香野晶子,パイオニアレッドウィングス,2,102,79,361,136,17,37.7,33.0,2,0,1,33,247,4,20,101,24,17,0,173,0.0,1.72,0.42,9.8,70.8
高本佳澄,トヨタ車体クインシーズ,9,34,1,3,2,0,66.7,66.7,0,0,0,0,0,0,0,0,1,0,0,2,,2.0,0.0,,0.0
高橋咲妃惠,トヨタ車体クインシーズ,13,111,67,0,0,0,,,0,0,0,0,0,0,0,0,220,136,0,0,,0.0,0.0,,61.8
高橋昌美,JTマーヴェラス,2,117,112,1009,321,65,31.8,25.4,80,22,10,16,419,18,37,152,788,442,0,355,27.5,2.87,0.14,11.2,56.1
高橋沙織,日立リヴァーレ,11,117,103,1046,321,84,30.7,22.7,179,56,22,52,384,15,19,157,589,311,0,388,31.3,3.12,0.5,12.9,52.8
高田ありさ,東レアローズ,4,117,118,928,373,51,40.2,34.7,23,0,2,23,480,24,45,202,946,604,0,420,0.0,3.16,0.19,13.2,63.8
鳥越未玖,NECレッドロケッツ,14,117,104,0,0,0,,,0,0,0,0,0,0,0,0,524,335,0,0,,0.0,0.0,,63.9
