名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
山田脩造,01,豊田合成トレフェルサ,1,23,94,47,9,50.0,40.4,9,5,2,0,56,3,12,15,66,36,12,50,55.6,2.0,0.0,6.7,63.6
山田脩造,10,豊田合成トレフェルサ,1,6,23,10,0,43.5,43.5,0,0,0,0,19,1,5,4,33,12,11,11,,1.7,0.0,3.9,53.0
山田脩造,11,豊田合成トレフェルサ,1,18,85,34,8,40.0,30.6,17,8,3,2,33,0,7,8,83,31,23,36,47.1,1.9,0.1,0.8,51.2
山田脩造,12,豊田合成トレフェルサ,1,14,109,50,14,45.9,33.0,28,13,3,3,52,4,10,13,1,0,0,57,46.4,3.6,0.2,9.1,0.0
山田要平,01,FC東京,4,18,8,7,0,87.5,87.5,0,0,0,1,37,0,11,5,1,0,0,8,,0.4,0.1,-4.1,0.0
山田要平,11,FC東京,4,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
山田要平,12,FC東京,4,15,5,3,0,60.0,60.0,0,0,0,4,50,1,6,5,0,0,0,8,,0.2,0.3,1.5,
山近哲,01,豊田合成トレフェルサ,2,4,12,6,1,50.0,41.7,0,0,0,2,13,0,2,3,0,0,0,8,,1.5,0.5,1.9,
山近哲,10,豊田合成トレフェルサ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山近哲,11,豊田合成トレフェルサ,2,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
山近哲,12,豊田合成トレフェルサ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
