名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
小川杏奈,2021-02,JTマーヴェラス,3,3,2,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小幡真子,2021-02,JTマーヴェラス,15,3,2,1,5,0,0,0,,,0,0,0,0,0,0,0,0,30,19,3,0,,0.0,0.0,,68.3
小杉凜華,2021-02,KUROBEアクアフェアリーズ,19,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小池杏菜,2021-02,日立リヴァーレ,10,1,3,0,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小西愛衣,2021-02,KUROBEアクアフェアリーズ,15,1,3,0,4,3,0,0,0.0,0.0,0,0,0,0,9,0,2,2,0,0,0,0,,0.0,0.0,0.0,
小野寺友香,2021-02,日立リヴァーレ,2,1,3,0,4,1,1,0,100.0,100.0,0,0,0,0,12,0,0,2,0,0,0,1,,0.25,0.0,4.2,
居村杏奈,2021-02,岡山シーガルズ,12,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山上有紀,2021-02,トヨタ車体クインシーズ,18,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山下遥香,2021-02,PFUブルーキャッツ,9,3,1,1,4,2,2,0,100.0,100.0,0,0,0,2,20,0,1,8,0,0,0,4,,0.5,0.5,8.8,
山内美咲,2021-02,NECレッドロケッツ,12,2,3,0,2,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
山口珠李,2021-02,埼玉上尾メディックス,6,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山城愛心,2021-02,KUROBEアクアフェアリーズ,6,1,3,0,4,18,4,1,22.2,16.7,1,0,1,1,10,1,1,4,36,7,9,6,0.0,1.0,0.25,17.5,31.9
山岸あかね,2021-02,埼玉上尾メディックス,7,3,1,1,4,0,0,0,,,0,0,0,0,0,0,0,0,11,5,4,0,,0.0,0.0,,63.6
山崎のの花,2021-02,埼玉上尾メディックス,5,3,1,1,4,2,1,0,50.0,50.0,0,0,0,1,12,0,1,2,0,0,0,2,,0.25,0.25,2.1,
山形理沙子,2021-02,トヨタ車体クインシーズ,20,2,3,0,5,4,0,0,0.0,0.0,0,0,0,0,14,1,1,7,0,0,0,1,,0.0,0.0,17.9,
山田二千華,2021-02,NECレッドロケッツ,13,2,3,0,4,14,2,1,14.3,7.1,0,0,0,2,6,0,1,4,1,0,0,4,,0.5,0.5,12.5,0.0
岩澤実育,2021-02,埼玉上尾メディックス,12,3,1,1,3,0,0,0,,,0,0,0,0,5,1,1,0,6,3,1,1,,0.0,0.0,15.0,58.3
島村春世,2021-02,NECレッドロケッツ,1,2,3,0,5,26,11,2,42.3,34.6,0,0,0,4,12,0,0,3,0,0,0,15,,2.2,0.8,6.2,
島畑奈緒子,2021-02,PFUブルーキャッツ,14,3,1,1,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
川上雛菜,2021-02,NECレッドロケッツ,17,2,3,0,4,0,0,0,,,0,0,0,0,10,0,0,2,0,0,0,0,,0.0,0.0,5.0,
川島亜依美,2021-02,岡山シーガルズ,28,3,0,1,3,15,5,1,33.3,26.7,0,0,0,2,6,0,3,0,0,0,0,7,,1.67,0.67,-12.5,
工藤嶺,2021-02,デンソーエアリービーズ,21,0,3,0,3,22,10,2,45.5,36.4,2,1,1,0,7,0,1,3,7,2,2,10,50.0,3.33,0.0,7.1,42.9
平山詩嫣,2021-02,久光スプリングス,19,0,3,0,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
座安琴希,2021-02,久光スプリングス,10,0,3,0,3,0,0,0,,,0,0,0,0,0,0,0,0,4,2,1,0,,0.0,0.0,,62.5
廣瀬七海,2021-02,NECレッドロケッツ,9,2,3,0,4,22,12,3,54.5,40.9,2,1,1,3,9,0,2,1,0,0,0,15,50.0,3.0,0.75,-2.8,
志摩美古都,2021-02,PFUブルーキャッツ,35,3,1,1,4,18,13,1,72.2,66.7,0,0,0,1,17,0,0,6,5,1,2,14,,3.25,0.25,8.8,40.0
戸江真奈,2021-02,久光スプリングス,18,0,3,0,3,0,0,0,,,0,0,0,0,0,0,0,0,8,5,0,0,,0.0,0.0,,62.5
曽我啓菜,2021-02,NECレッドロケッツ,5,2,3,0,5,35,9,2,25.7,20.0,2,1,0,0,20,0,2,6,16,3,6,9,50.0,1.8,0.0,5.0,37.5
杉原若葉,2021-02,KUROBEアクアフェアリーズ,11,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村上華澄,2021-02,PFUブルーキャッツ,6,3,1,1,4,19,4,1,21.1,15.8,0,0,0,1,19,0,0,6,0,0,0,5,,1.0,0.25,7.9,
村永奈央,2021-02,トヨタ車体クインシーズ,6,2,3,0,4,2,0,0,0.0,0.0,0,0,0,0,5,1,0,1,4,3,0,1,,0.0,0.0,25.0,75.0
東谷玲衣奈,2021-02,デンソーエアリービーズ,20,0,3,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
松井珠己,2021-02,デンソーエアリービーズ,14,0,3,0,3,0,0,0,,,0,0,0,0,6,0,0,1,0,0,0,0,,0.0,0.0,4.2,
松本亜弥華,2021-02,トヨタ車体クインシーズ,14,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
林琴奈,2021-02,JTマーヴェラス,2,3,2,1,5,37,12,0,32.4,32.4,5,0,0,5,18,0,1,5,36,13,16,17,0.0,2.4,1.0,5.6,58.3
柴田真果,2021-02,JTマーヴェラス,5,3,2,1,5,1,0,0,0.0,0.0,0,0,0,0,8,0,2,0,0,0,0,0,,0.0,0.0,-6.2,
梅津憂理,2021-02,KUROBEアクアフェアリーズ,13,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
森田茉莉,2021-02,PFUブルーキャッツ,3,3,1,1,4,0,0,0,,,0,0,0,0,0,0,0,0,19,6,4,0,,0.0,0.0,,42.1
森谷史佳,2021-02,デンソーエアリービーズ,10,0,3,0,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
楢崎慈恵,2021-02,岡山シーガルズ,27,3,0,1,3,0,0,0,,,0,0,0,0,0,0,0,0,15,9,0,0,,0.0,0.0,,60.0
榊原美沙都,2021-02,トヨタ車体クインシーズ,8,2,3,0,5,0,0,0,,,0,0,0,0,0,0,0,0,20,7,5,0,,0.0,0.0,,47.5
横田真未,2021-02,デンソーエアリービーズ,16,0,3,0,3,12,4,0,33.3,33.3,0,0,0,1,16,2,0,5,1,1,0,7,,1.33,0.33,20.3,100.0
橘井友香,2021-02,JTマーヴェラス,4,3,2,1,4,0,0,0,,,0,0,0,0,7,0,1,3,9,3,2,0,,0.0,0.0,7.1,44.4
櫻井美樹,2021-02,ヴィクトリーナ姫路,2,3,2,1,5,1,0,0,0.0,0.0,0,0,0,0,16,0,3,3,0,0,0,0,,0.0,0.0,0.0,
水杉玲奈,2021-02,東レアローズ,11,3,0,1,3,0,0,0,,,0,0,0,0,0,0,0,0,9,3,2,0,,0.0,0.0,,44.4
津賀菜緒,2021-02,PFUブルーキャッツ,13,3,1,1,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
浮島杏加子,2021-02,KUROBEアクアフェアリーズ,12,1,3,0,2,3,1,0,33.3,33.3,0,0,0,0,1,0,0,0,0,0,0,1,,0.5,0.0,0.0,
渡邊彩,2021-02,トヨタ車体クインシーズ,7,2,3,0,5,27,13,0,48.1,48.1,0,0,0,6,15,0,0,5,0,0,0,19,,2.6,1.2,8.3,
渡邊真恵,2021-02,岡山シーガルズ,6,3,0,1,3,18,4,3,22.2,5.6,0,0,0,1,22,1,0,7,0,0,0,6,,1.33,0.33,12.5,
溝口由利香,2021-02,ヴィクトリーナ姫路,18,3,2,1,3,0,0,0,,,0,0,0,0,0,0,0,0,4,2,1,0,,0.0,0.0,,62.5
